"filename", "language", "Dart", "Groovy", "Properties", "YAML", "Markdown", "XML", "JSON", "C++", "Python", "Swift", "HTML", "comment", "blank", "total"
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/lib/pages/personal/subpages/identify_change.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 34
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/lib/pages/render/index.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/lib/route/index.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/lib/store/file.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/lib/store/file.g.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 47
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/lib/store/index.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/pubspec.yaml", "YAML", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 12, 8, 46
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/test/widget_test.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 30
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 15, 5, 46
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 605, 81, 8, 26, 15, 125, 168, 1, 59, 12, 26, 126, 157, 1409
